FID,Northing,Easting,Latitude,Longitude,Elevation,GCP,Location,Bound,KM_Marker,GCP_Name,Remark,Section
101,273079.535911088,458044.942061989,2.46788368984,102.119731168,36.5328,GP24,MELAKA/N.SEMBILAN,Layby NB,225.4,GCP 102,Layby Pedas Linggi NB,S1
102,270752.544373994,465080.566167081,2.44695000915,102.183027772,35.8246,GP23,MELAKA/N.SEMBILAN,Toll Plaza,217.5,GCP 103,Simpang Ampat Toll Plaza,S2
103,265121.086414044,469456.918477144,2.39608775231,102.222461781,36.3969,GP22,MELAKA/N.SEMBILAN,RSA SB,209.9,GCP 104,RSA Ayer Keroh SB,S2
104,261377.280645151,472150.611746146,2.36227014903,102.246736002,34.636,AKH03,DL2- Ayer Keroh RSA NB,RSA NB,205,GCP 105,RSA Ayer Keroh NB,S2
105,254416.518799463,479243.006058674,2.29942148928,102.310600955,28.8126,GP21,MELAKA/N.SEMBILAN,Toll Plaza,195,GCP 106,Ayer Keroh Toll Plaza,S2
106,250417.533425923,492922.565539056,2.26344097129,102.433640564,33.9822,GP20,MELAKA/N.SEMBILAN,Toll Plaza,180.5,GCP 107,Jasin Toll Plaza,S2
107,248513.791093049,504143.007415605,2.24636539354,102.534541831,27.5952,GP19,JOHOR,Toll Plaza,169.4,GCP 108,Tangkak Toll Plaza,S2
108,242606.815877739,513969.490857648,2.19305862235,102.62295552,4.4571,GP18,JOHOR,Toll Plaza,157,GCP 109,Bukit Gambir Toll Plaza,S2
109,235766.061930427,525881.519201181,2.13132098,102.7301216,35.4268,GP17,JOHOR,Toll Plaza,142.7,GCP 110,Pagoh Toll Plaza,S3
110,234793.37643719,532949.08820726,2.12259707456,102.793669432,42.4089,PGH03,DL2- Pagoh RSA SB,RSA SB,135.1,GCP 111,RSA Pagoh SB,S3
111,233257.19827064,535566.390960844,2.10872963745,102.817214428,9.741,GP16,JOHOR,NB,131.9,GCP 112,,S3
112,229593.481880996,545270.130142203,2.0756869788,102.904485711,32.0482,GP15,JOHOR,NB,120.5,GCP 113,,S3
113,228438.137490775,553737.821511615,2.06531414548,102.980619965,13.2193,GP14,JOHOR,Layby NB,109,GCP 114,Layby Yong Peng NB,S3
114,221487.384376065,561040.103858807,2.00250985039,103.046324903,13.1771,GP13,JOHOR,Toll Plaza,99,GCP 115,Yong Peng North Toll Plaza,S3
115,218953.195639539,567768.710414429,1.97964343844,103.106832591,6.3799,GP12,JOHOR,NB,91,GCP 116,,S3
116,213513.717885514,576496.743882305,1.93051145325,103.185333804,10.5327,GP11,JOHOR,Toll Plaza,80.7,GCP 117,Ayer Hitam Toll Plaza,S3
117,209663.011250866,580946.413690995,1.89571490353,103.225360486,25.3385,MCP01,DL2- Machap RSA NB,RSA NB,74.9,GCP 118,RSA Machap NB,S3
118,209665.897277108,581223.72759407,1.89574296101,103.227853339,18.8302,GP10,JOHOR,RSA SB,74.5,GCP 119,RSA Machap SB,S3
119,202789.097309347,588181.41879626,1.83359153202,103.290442673,11.4373,GP09,JOHOR,SB,64.6,GCP 120,,S4
120,195307.36890221,594949.096033905,1.76596435199,103.351322884,31.2886,GP08,JOHOR,Layby NB,54.2,GCP 121,Layby Simpang Renggam NB,S4
121,189127.342816855,605764.54484495,1.71013094801,103.448573059,28.8656,GP07,JOHOR,Toll Plaza,41.9,GCP 122,Sedenak Toll Plaza,S4
122,183157.24761992,612543.02702277,1.6561690615,103.509531688,14.4659,GP06,JOHOR,Layby NB,32.9,GCP 123,Layby Kulai NB,S4
123,182540.428218952,617700.591256,1.65061633144,103.555891598,29.0893,GP05,JOHOR,Toll Plaza,27.8,GCP 124,Kulai Toll Plaza,S4
124,179022.370727716,628863.660824411,1.61884841206,103.65624256,26.5757,TBM14,JOHOR,IC,35,GCP 125,Senai/Desaru Interchange,S6
125,177808.005968144,628508.545691445,1.60786296753,103.653056176,25.3554,G102,JOHOR,IC,34,GCP 126,,S6
126,177566.61221184,625639.521191795,1.60566660211,103.627270561,33.8061,TBM13,JOHOR,IC,31,GCP 127,Indahpura Interchange,S6
127,174901.204164993,627945.334584928,1.58156862528,103.648007031,30.4364,GP03,JOHOR,Toll Plaza,14.9,GCP 128,Skudai Toll Plaza,S4
128,171766.276356921,634043.317627346,1.55323975471,103.702827899,23.2797,GP02,JOHOR,Toll Plaza,7.6,GCP 129,Kempas Toll Plaza,S5
129,168421.473352691,640693.787381688,1.52301292861,103.762613686,7.1876,GP01,JOHOR,NB,0,GCP 130,Pandan Interchange,S5
130,176804.624398836,624219.071802723,1.59876793138,103.61450721,35.244,G101,JOHOR,Toll Plaza,19,GCP 131,Senai North Toll Plaza,S4
131,174395.605547691,623004.458051247,1.57697293351,103.603601553,39.5829,GP04,JOHOR,EB,26.9,GCP 132,Pulai Jaya Interchange,S6
132,163385.254417082,627133.443474058,1.47740443223,103.64076094,33.5247,TBM12,JOHOR,WB,19,GCP 133,Medical Park Interchange,S6
133,160681.377107912,624358.698631633,1.4529358801,103.615835463,30.8322,G100,JOHOR,SB,12.9,GCP 134,Iskandar Puteri Interchange,S6
134,154698.69986102,621033.143430218,1.39880862773,103.585975597,21.2259,GPH03,DL2- Gelang Patah RSA NB,RSA NB,6,GCP 135,RSA Gelang Patah NB,S6
135,153433.372232282,621854.488221931,1.3873677991,103.593362686,25.1633,GP99,JOHOR,RSA SB,4,GCP 136,RSA Gelang Patah SB,S6
